"age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","previous","poutcome","euribor3m","new_pdays","emp_var_rate","cons_price_idx","cons_conf_idx","nr_employed","subscribe"
30,"blue collar","married","basic 9y","no","yes","no","cellular","may","fri",2,0,"non existent",1.313,0,-1.8,92.893,-46.2,5099.1,"0"
39,"services","single","high school","no","no","no","telephone","may","fri",4,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
25,"services","married","high school","no","yes","no","telephone","jun","wed",1,0,"non existent",4.962,0,1.4,94.465,-41.8,5228.1,"0"
38,"services","married","basic 9y","no","yes","no","telephone","jun","fri",3,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
47,"admin","married","university degree","no","yes","no","cellular","nov","mon",1,0,"non existent",4.191,0,-0.1,93.2,-42,5195.8,"0"
32,"services","single","university degree","no","no","no","cellular","sep","thu",3,2,"failure",0.884,0,-1.1,94.199,-37.5,4963.6,"0"
32,"admin","single","university degree","no","yes","no","cellular","sep","mon",4,0,"non existent",0.879,0,-1.1,94.199,-37.5,4963.6,"0"
41,"entrepreneur","married","university degree","no","yes","no","cellular","nov","mon",2,0,"non existent",4.191,0,-0.1,93.2,-42,5195.8,"0"
31,"services","divorced","professional course","no","no","no","cellular","nov","tue",1,1,"failure",4.153,0,-0.1,93.2,-42,5195.8,"0"
35,"blue collar","married","basic 9y","no","no","no","telephone","may","thu",1,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
25,"services","single","basic 6y","no","yes","no","cellular","jul","thu",1,0,"non existent",4.958,0,1.4,93.918,-42.7,5228.1,"0"
36,"self employed","single","basic 4y","no","no","no","cellular","jul","thu",1,0,"non existent",4.968,0,1.4,93.918,-42.7,5228.1,"0"
36,"admin","married","high school","no","no","no","telephone","may","wed",2,0,"non existent",4.859,0,1.1,93.994,-36.4,5191,"0"
47,"blue collar","married","basic 4y","no","yes","no","telephone","jun","thu",2,0,"non existent",4.958,0,1.4,94.465,-41.8,5228.1,"0"
29,"admin","single","high school","no","no","no","cellular","may","fri",2,0,"non existent",1.313,0,-1.8,92.893,-46.2,5099.1,"0"
27,"services","single","university degree","no","no","no","cellular","jul","wed",2,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
44,"admin","divorced","university degree","no","no","no","cellular","jul","wed",6,0,"non existent",4.957,0,1.4,93.918,-42.7,5228.1,"0"
46,"admin","divorced","university degree","no","yes","no","telephone","jul","mon",4,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
45,"entrepreneur","married","university degree","no","yes","yes","cellular","aug","mon",2,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
50,"blue collar","married","basic 4y","no","no","yes","cellular","jul","tue",1,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"1"
55,"services","married","basic 6y","no","yes","no","cellular","jul","tue",6,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
39,"technician","divorced","high school","no","no","no","cellular","mar","mon",1,2,"success",0.639,12,-1.8,93.369,-34.8,5008.7,"1"
29,"technician","single","university degree","no","yes","yes","cellular","aug","wed",3,0,"non existent",4.967,0,1.4,93.444,-36.1,5228.1,"0"
40,"management","married","high school","no","no","yes","cellular","aug","wed",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
44,"technician","married","professional course","no","yes","no","telephone","may","fri",0.867603485243007,0,"non existent",4.864,0,1.1,93.994,-36.4,5191,"0"
38,"technician","married","professional course","no","yes","no","cellular","aug","mon",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"1"
36,"technician","divorced","professional course","no","no","no","telephone","may","wed",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
28,"blue collar","married","basic 6y","no","no","no","cellular","may","mon",2,1,"failure",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
47,"admin","single","university degree","no","no","no","telephone","may","thu",1,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
34,"admin","married","university degree","no","no","no","cellular","aug","tue",1,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
38,"technician","married","university degree","no","yes","yes","cellular","mar","tue",1,1,"failure",1.687,0,-1.8,92.843,-50,5099.1,"0"
33,"services","married","high school","no","yes","no","telephone","jun","mon",3,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
51,"technician","single","university degree","no","no","no","cellular","jun","fri",2,0,"non existent",1.268,0,-2.9,92.963,-40.8,5076.2,"0"
30,"blue collar","single","basic 4y","no","yes","no","telephone","jun","tue",1,0,"non existent",4.864,0,1.4,94.465,-41.8,5228.1,"0"
48,"technician","married","university degree","no","no","no","cellular","aug","thu",3.69131549257112,0,"non existent",4.962,0,1.4,93.444,-36.1,5228.1,"0"
28,"blue collar","single","basic 9y","no","yes","no","telephone","jun","wed",1,0,"non existent",4.864,0,1.4,94.465,-41.8,5228.1,"0"
36,"blue collar","married","basic 6y","no","yes","no","telephone","may","wed",1,0,"non existent",4.859,0,1.1,93.994,-36.4,5191,"0"
46,"management","divorced","high school","no","no","no","cellular","nov","wed",1,0,"non existent",4.12,0,-0.1,93.2,-42,5195.8,"0"
31,"technician","single","professional course","no","yes","no","cellular","may","wed",1,1,"failure",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
